,Table 1. Current-Dollar Gross Domestic Product (GDP) by Metropolitan Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,Millions of dollars,,,,,,2014 Rank*
101,"Dothan, AL",4426,4566.0,4565.0,4658.0,4947.0,5017,303
102,"Dover, DE",6352,6116.0,6318.0,6348.0,6432.0,6657,247
103,"Dubuque, IA",4212,4475.0,4604.0,5289.0,5267.0,5410,292
104,"Duluth, MN-WI",9600,10660.0,11339.0,11032.0,11663.0,11926,175
105,"Durham-Chapel Hill, NC",39073,39931.0,38047.0,38666.0,41883.0,43484,63
106,"East Stroudsburg, PA",5586,5615.0,5402.0,5357.0,5338.0,5238,298
107,"Eau Claire, WI",6241,6512.0,6663.0,7002.0,7225.0,7594,227
108,"El Centro, CA",4865,4880.0,5383.0,5235.0,5477.0,5655,278
109,"Elizabethtown-Fort Knox, KY",4724,5437.0,5776.0,5904.0,6026.0,5980,266
110,"Elkhart-Goshen, IN",7945,10143.0,10236.0,11347.0,12166.0,12987,169
111,"Elmira, NY",2930,3139.0,3240.0,3320.0,3339.0,3361,365
112,"El Paso, TX",24464,25191.0,25979.0,27075.0,27959.0,28526,88
113,"Erie, PA",9627,9686.0,10226.0,10162.0,10640.0,10856,186
114,"Eugene, OR",11572,11767.0,12174.0,12661.0,13157.0,13673,159
115,"Evansville, IN-KY",15203,15924.0,16744.0,16656.0,16628.0,16634,137
116,"Fairbanks, AK",5070,5187.0,5410.0,5446.0,5400.0,5426,291
117,"Fargo, ND-MN",10493,11296.0,12557.0,13767.0,14176.0,15026,146
118,"Farmington, NM",5970,5781.0,6319.0,6050.0,6254.0,6394,255
119,"Fayetteville, NC",16424,16989.0,17358.0,17549.0,17528.0,17266,132
120,"Fayetteville-Springdale-Rogers, AR-MO",18473,20194.0,21646.0,22472.0,24006.0,25105,95
121,"Flagstaff, AZ",4766,4868.0,4816.0,4877.0,5179.0,5267,297
122,"Flint, MI",11297,11900.0,12043.0,12411.0,12990.0,13200,164
123,"Florence, SC",7058,7028.0,7075.0,7247.0,7645.0,7843,221
124,"Florence-Muscle Shoals, AL",3928,4139.0,4250.0,4382.0,4601.0,4813,312
